BookID,Title,AuthorID,Genre,SubGenre,ISBN,PublishDate,ListPrice,Format,PageCount,PrintRunSize,ImprintName,Status
BK-023,Love in Paris,AUT-003,Fiction,Romance,978-1-2345-0023-3,2025-03-01,17.99,Paperback,304,14000,Rosewood Books,Active
BK-024,Climate Warriors,AUT-016,Non-Fiction,Environment,978-1-2345-0024-0,2025-03-15,23.99,Paperback,320,12000,Horizon Technical,Active
BK-025,The Silent Witness,AUT-005,Fiction,Mystery,978-1-2345-0025-7,2025-04-01,24.99,Hardcover,368,16000,Moonlight Mysteries,Active
BK-026,Monsoon Memories,AUT-021,Fiction,Literary Fiction,978-1-2345-0026-4,2023-08-10,22.99,Hardcover,336,12000,Horizon Literary,Active
BK-027,The Berlin Wall,AUT-022,Non-Fiction,History,978-1-2345-0027-1,2023-11-15,26.99,Hardcover,448,14000,Horizon Literary,Active
BK-028,Flames of Seville,AUT-023,Fiction,Romance,978-1-2345-0028-8,2024-02-14,16.99,Paperback,304,10000,Rosewood Books,Active
BK-029,The Ogun Chronicles,AUT-024,Fiction,Fantasy,978-1-2345-0029-5,2024-03-20,25.99,Hardcover,480,15000,Starlight Press,Active
BK-030,The Silk Road Algorithm,AUT-025,Fiction,Science Fiction,978-1-2345-0030-1,2024-04-15,27.99,Hardcover,400,18000,Starlight Press,Active
BK-031,Provence Kitchen,AUT-026,Non-Fiction,Cooking,978-1-2345-0031-8,2024-05-01,34.99,Hardcover,288,9000,Horizon Living,Active
BK-032,The Oslo Conspiracy,AUT-027,Fiction,Thriller,978-1-2345-0032-5,2024-06-01,26.99,Hardcover,384,20000,Moonlight Mysteries,Active
BK-033,Desert Sands & Silicon,AUT-028,Non-Fiction,Business,978-1-2345-0033-2,2024-07-15,28.99,Hardcover,320,11000,Horizon Technical,Active
BK-034,River of Stars,AUT-029,Fiction,Literary Fiction,978-1-2345-0034-9,2024-08-01,24.99,Hardcover,352,13000,Horizon Literary,Active
BK-035,Shadow Detective Tokyo,AUT-030,Fiction,Mystery,978-1-2345-0035-6,2024-09-15,23.99,Paperback,336,11000,Moonlight Mysteries,Active
BK-036,The Literary Mind Vol 2,AUT-001,Fiction,Literary Fiction,978-1-2345-0036-3,2024-03-10,25.99,Hardcover,340,12000,Horizon Literary,Active
BK-037,Quantum Horizons: Nexus,AUT-002,Fiction,Science Fiction,978-1-2345-0037-0,2024-06-20,28.99,Hardcover,496,18000,Starlight Press,Active
BK-038,Roses of Tuscany,AUT-003,Fiction,Romance,978-1-2345-0038-7,2024-08-10,17.99,Paperback,272,9000,Rosewood Books,Active
BK-039,AI Ethics Handbook,AUT-004,Non-Fiction,Technology,978-1-2345-0039-4,2024-09-25,31.99,Hardcover,368,15000,Horizon Technical,Active
BK-040,The Phoenix Protocol: Endgame,AUT-013,Fiction,Thriller,978-1-2345-0040-0,2024-10-01,29.99,Hardcover,464,40000,Moonlight Mysteries,Active
BK-041,Sacred Grove,AUT-015,Fiction,Fantasy,978-1-2345-0041-7,2024-10-20,27.99,Hardcover,528,16000,Starlight Press,Active
BK-042,World War Two at Sea,AUT-022,Non-Fiction,History,978-1-2345-0042-4,2024-11-15,29.99,Hardcover,512,10000,Horizon Literary,Active
BK-043,Midnight in Mumbai,AUT-021,Fiction,Literary Fiction,978-1-2345-0043-1,2024-11-20,23.99,Hardcover,320,14000,Horizon Literary,Active
BK-044,The Wanderer's Guide,AUT-008,Non-Fiction,Travel,978-1-2345-0044-8,2024-04-10,21.99,Paperback,256,12000,Horizon Living,Active
BK-045,Echoes of the Sahel,AUT-009,Fiction,Literary Fiction,978-1-2345-0045-5,2024-12-01,24.99,Hardcover,288,10000,Horizon Literary,Active
