TransactionID,TransactionDate,AccountID,BookID,Amount,Currency,TransactionType,FiscalYear,FiscalQuarter,FiscalMonth,CostCenterID,Description
TXN-0109,2024-06-30,1015,-,-14000.00,USD,Debit,FY2024,Q2,6,CC-700,IT Infrastructure June
TXN-0110,2024-07-05,1001,BK-014,9800.00,USD,Credit,FY2024,Q3,7,CC-100,Book Sales - Mindful Cooking Jul W1
TXN-0111,2024-07-05,1010,BK-014,-2940.00,USD,Debit,FY2024,Q3,7,CC-200,Printing Costs - Mindful Cooking
TXN-0112,2024-07-08,1002,BK-014,2800.00,USD,Credit,FY2024,Q3,7,CC-100,E-Book Sales - Mindful Cooking Jul
TXN-0113,2024-07-10,1001,BK-015,16200.00,USD,Credit,FY2024,Q3,7,CC-100,Book Sales - The Forgotten City Jul W2
TXN-0114,2024-07-10,1010,BK-015,-4860.00,USD,Debit,FY2024,Q3,7,CC-200,Printing Costs - The Forgotten City
TXN-0115,2024-07-12,1002,BK-015,6500.00,USD,Credit,FY2024,Q3,7,CC-100,E-Book Sales - The Forgotten City Jul
TXN-0116,2024-07-12,1003,BK-015,3200.00,USD,Credit,FY2024,Q3,7,CC-100,Audiobook Sales - The Forgotten City Jul
TXN-0117,2024-07-15,1021,BK-015,-2590.00,USD,Debit,FY2024,Q3,7,CC-300,Author Royalties 10% - Forgotten City
TXN-0118,2024-07-18,1001,BK-033,9500.00,USD,Credit,FY2024,Q3,7,CC-100,Book Sales - Desert Sands & Silicon Jul
TXN-0119,2024-07-18,1010,BK-033,-2850.00,USD,Debit,FY2024,Q3,7,CC-200,Printing Costs - Desert Sands & Silicon
TXN-0120,2024-07-20,1004,BK-015,2800.00,USD,Credit,FY2024,Q3,7,CC-100,International Sales - Forgotten City GBP
TXN-0121,2024-07-22,1004,BK-010,1700.00,USD,Credit,FY2024,Q3,7,CC-100,International Sales - Last Algorithm SGD
TXN-0122,2024-07-25,1004,BK-013,1500.00,USD,Credit,FY2024,Q3,7,CC-100,International Sales - Phoenix Protocol KRW
TXN-0123,2024-07-31,1011,-,-30000.00,USD,Debit,FY2024,Q3,7,CC-300,Editorial Salaries July
TXN-0124,2024-07-31,1012,-,-46000.00,USD,Debit,FY2024,Q3,7,CC-400,Marketing Spend July
TXN-0125,2024-07-31,1013,-,-20500.00,USD,Debit,FY2024,Q3,7,CC-500,Warehouse OpEx July
TXN-0126,2024-07-31,1014,-,-16500.00,USD,Debit,FY2024,Q3,7,CC-600,HR & Admin July
TXN-0127,2024-07-31,1015,-,-14000.00,USD,Debit,FY2024,Q3,7,CC-700,IT Infrastructure July
TXN-0128,2024-08-05,1001,BK-016,7200.00,USD,Credit,FY2024,Q3,8,CC-100,Book Sales - Sustainable Future Aug W1
TXN-0129,2024-08-05,1010,BK-016,-2160.00,USD,Debit,FY2024,Q3,8,CC-200,Printing Costs - Sustainable Future
TXN-0130,2024-08-08,1002,BK-016,2600.00,USD,Credit,FY2024,Q3,8,CC-100,E-Book Sales - Sustainable Future Aug
TXN-0131,2024-08-10,1001,BK-034,8500.00,USD,Credit,FY2024,Q3,8,CC-100,Book Sales - River of Stars Aug
TXN-0132,2024-08-10,1010,BK-034,-2550.00,USD,Debit,FY2024,Q3,8,CC-200,Printing Costs - River of Stars
TXN-0133,2024-08-12,1004,BK-034,1100.00,USD,Credit,FY2024,Q3,8,CC-100,International Sales - River of Stars BRL
TXN-0134,2024-08-15,1001,BK-038,4500.00,USD,Credit,FY2024,Q3,8,CC-100,Book Sales - Roses of Tuscany Aug
TXN-0135,2024-08-15,1010,BK-038,-1350.00,USD,Debit,FY2024,Q3,8,CC-200,Printing Costs - Roses of Tuscany
TXN-0136,2024-08-18,1004,BK-038,750.00,USD,Credit,FY2024,Q3,8,CC-100,International Sales - Roses of Tuscany CNY
TXN-0137,2024-08-31,1011,-,-30500.00,USD,Debit,FY2024,Q3,8,CC-300,Editorial Salaries August
TXN-0138,2024-08-31,1012,-,-48000.00,USD,Debit,FY2024,Q3,8,CC-400,Marketing Spend August
TXN-0139,2024-08-31,1013,-,-20500.00,USD,Debit,FY2024,Q3,8,CC-500,Warehouse OpEx August
TXN-0140,2024-08-31,1014,-,-17000.00,USD,Debit,FY2024,Q3,8,CC-600,HR & Admin August
TXN-0141,2024-08-31,1015,-,-14500.00,USD,Debit,FY2024,Q3,8,CC-700,IT Infrastructure August
TXN-0142,2024-09-03,1001,BK-017,95000.00,USD,Credit,FY2024,Q3,9,CC-100,Book Sales - Winter's Promise Sep W1 (launch)
TXN-0143,2024-09-03,1010,BK-017,-28500.00,USD,Debit,FY2024,Q3,9,CC-200,Printing Costs - Winter's Promise (50K run)
TXN-0144,2024-09-05,1002,BK-017,25000.00,USD,Credit,FY2024,Q3,9,CC-100,E-Book Sales - Winter's Promise Sep W1
TXN-0145,2024-09-05,1003,BK-017,12000.00,USD,Credit,FY2024,Q3,9,CC-100,Audiobook Sales - Winter's Promise Sep W1
TXN-0146,2024-09-08,1021,BK-017,-19800.00,USD,Debit,FY2024,Q3,9,CC-300,Author Royalties 15% - Winter's Promise
TXN-0147,2024-09-10,1004,BK-017,8500.00,USD,Credit,FY2024,Q3,9,CC-100,International Sales - Winter's Promise Multi
TXN-0148,2024-09-12,1012,-,-85000.00,USD,Debit,FY2024,Q3,9,CC-400,Marketing Spend Sep - Winter's Promise launch
TXN-0149,2024-09-15,1001,BK-035,6800.00,USD,Credit,FY2024,Q3,9,CC-100,Book Sales - Shadow Detective Tokyo Sep
TXN-0150,2024-09-15,1010,BK-035,-2040.00,USD,Debit,FY2024,Q3,9,CC-200,Printing Costs - Shadow Detective Tokyo
TXN-0151,2024-09-18,1004,BK-035,1200.00,USD,Credit,FY2024,Q3,9,CC-100,International Sales - Shadow Detective JPY
TXN-0152,2024-09-20,1001,BK-018,5400.00,USD,Credit,FY2024,Q3,9,CC-100,Book Sales - Herbalist's Guide Sep W3
TXN-0153,2024-09-20,1010,BK-018,-1620.00,USD,Debit,FY2024,Q3,9,CC-200,Printing Costs - Herbalist's Guide
TXN-0154,2024-09-22,1002,BK-018,2200.00,USD,Credit,FY2024,Q3,9,CC-100,E-Book Sales - Herbalist's Guide Sep
TXN-0155,2024-09-25,1001,BK-017,48000.00,USD,Credit,FY2024,Q3,9,CC-100,Book Sales - Winter's Promise Sep W4 (reorder)
TXN-0156,2024-09-25,1002,BK-017,18000.00,USD,Credit,FY2024,Q3,9,CC-100,E-Book Sales - Winter's Promise Sep W4
TXN-0157,2024-09-28,1004,BK-017,6500.00,USD,Credit,FY2024,Q3,9,CC-100,International Sales - Winter's Promise Sep UK/DE
TXN-0158,2024-09-30,1011,-,-31000.00,USD,Debit,FY2024,Q3,9,CC-300,Editorial Salaries September
TXN-0159,2024-09-30,1013,-,-22000.00,USD,Debit,FY2024,Q3,9,CC-500,Warehouse OpEx September (peak)
TXN-0160,2024-09-30,1014,-,-17000.00,USD,Debit,FY2024,Q3,9,CC-600,HR & Admin September
TXN-0161,2024-09-30,1015,-,-15000.00,USD,Debit,FY2024,Q3,9,CC-700,IT Infrastructure September
TXN-0162,2024-10-05,1001,BK-039,16200.00,USD,Credit,FY2024,Q4,10,CC-100,Book Sales - AI Ethics Handbook Oct W1
TXN-0163,2024-10-05,1010,BK-039,-4860.00,USD,Debit,FY2024,Q4,10,CC-200,Printing Costs - AI Ethics Handbook
TXN-0164,2024-10-08,1002,BK-039,6200.00,USD,Credit,FY2024,Q4,10,CC-100,E-Book Sales - AI Ethics Handbook Oct
TXN-0165,2024-10-10,1001,BK-019,7600.00,USD,Credit,FY2024,Q4,10,CC-100,Book Sales - New Year New You Oct W2
TXN-0166,2024-10-10,1010,BK-019,-2280.00,USD,Debit,FY2024,Q4,10,CC-200,Printing Costs - New Year New You
TXN-0167,2024-10-12,1002,BK-019,3800.00,USD,Credit,FY2024,Q4,10,CC-100,E-Book Sales - New Year New You Oct
TXN-0168,2024-10-15,1001,BK-040,55000.00,USD,Credit,FY2024,Q4,10,CC-100,Book Sales - Phoenix Protocol Endgame Oct
TXN-0169,2024-10-15,1010,BK-040,-16500.00,USD,Debit,FY2024,Q4,10,CC-200,Printing Costs - Phoenix Protocol Endgame
TXN-0170,2024-10-18,1002,BK-040,14000.00,USD,Credit,FY2024,Q4,10,CC-100,E-Book Sales - Phoenix Protocol Endgame Oct
TXN-0171,2024-10-18,1003,BK-040,7500.00,USD,Credit,FY2024,Q4,10,CC-100,Audiobook Sales - Phoenix Protocol Endgame
TXN-0172,2024-10-20,1021,BK-040,-10710.00,USD,Debit,FY2024,Q4,10,CC-300,Author Royalties 14% - Phoenix Endgame
TXN-0173,2024-10-22,1004,BK-040,3500.00,USD,Credit,FY2024,Q4,10,CC-100,International Sales - Phoenix Endgame UK
TXN-0174,2024-10-25,1001,BK-017,32000.00,USD,Credit,FY2024,Q4,10,CC-100,Book Sales - Winter's Promise Oct (continued)
TXN-0175,2024-10-25,1002,BK-017,12000.00,USD,Credit,FY2024,Q4,10,CC-100,E-Book Sales - Winter's Promise Oct
TXN-0176,2024-10-28,1004,BK-017,5200.00,USD,Credit,FY2024,Q4,10,CC-100,International Sales - Winter's Promise Oct Multi
TXN-0177,2024-10-31,1011,-,-31000.00,USD,Debit,FY2024,Q4,10,CC-300,Editorial Salaries October
TXN-0178,2024-10-31,1012,-,-62000.00,USD,Debit,FY2024,Q4,10,CC-400,Marketing Spend October (Q4 push)
TXN-0179,2024-10-31,1013,-,-22000.00,USD,Debit,FY2024,Q4,10,CC-500,Warehouse OpEx October
TXN-0180,2024-10-31,1014,-,-17500.00,USD,Debit,FY2024,Q4,10,CC-600,HR & Admin October
TXN-0181,2024-10-31,1015,-,-15000.00,USD,Debit,FY2024,Q4,10,CC-700,IT Infrastructure October
TXN-0182,2024-11-05,1001,BK-020,11200.00,USD,Credit,FY2024,Q4,11,CC-100,Book Sales - Joy of Reading Nov W1
TXN-0183,2024-11-05,1010,BK-020,-3360.00,USD,Debit,FY2024,Q4,11,CC-200,Printing Costs - Joy of Reading
TXN-0184,2024-11-08,1002,BK-020,4500.00,USD,Credit,FY2024,Q4,11,CC-100,E-Book Sales - Joy of Reading Nov
TXN-0185,2024-11-10,1001,BK-041,12500.00,USD,Credit,FY2024,Q4,11,CC-100,Book Sales - Sacred Grove Nov W2
TXN-0186,2024-11-10,1010,BK-041,-3750.00,USD,Debit,FY2024,Q4,11,CC-200,Printing Costs - Sacred Grove
TXN-0187,2024-11-12,1002,BK-041,4200.00,USD,Credit,FY2024,Q4,11,CC-100,E-Book Sales - Sacred Grove Nov
TXN-0188,2024-11-15,1001,BK-042,8800.00,USD,Credit,FY2024,Q4,11,CC-100,Book Sales - WW2 at Sea Nov
TXN-0189,2024-11-15,1010,BK-042,-2640.00,USD,Debit,FY2024,Q4,11,CC-200,Printing Costs - WW2 at Sea
TXN-0190,2024-11-18,1004,BK-042,1800.00,USD,Credit,FY2024,Q4,11,CC-100,International Sales - WW2 at Sea EUR
TXN-0191,2024-11-20,1001,BK-017,42000.00,USD,Credit,FY2024,Q4,11,CC-100,Book Sales - Winter's Promise Nov (holiday)
TXN-0192,2024-11-20,1002,BK-017,15000.00,USD,Credit,FY2024,Q4,11,CC-100,E-Book Sales - Winter's Promise Nov
TXN-0193,2024-11-22,1003,BK-017,8000.00,USD,Credit,FY2024,Q4,11,CC-100,Audiobook Sales - Winter's Promise Nov
TXN-0194,2024-11-25,1004,BK-017,6800.00,USD,Credit,FY2024,Q4,11,CC-100,Intl Sales - Winter's Promise Nov Multi
TXN-0195,2024-11-25,1001,BK-043,9200.00,USD,Credit,FY2024,Q4,11,CC-100,Book Sales - Midnight in Mumbai Nov
TXN-0196,2024-11-25,1010,BK-043,-2760.00,USD,Debit,FY2024,Q4,11,CC-200,Printing Costs - Midnight in Mumbai
TXN-0197,2024-11-28,1004,BK-043,1400.00,USD,Credit,FY2024,Q4,11,CC-100,International Sales - Midnight in Mumbai INR
TXN-0198,2024-11-30,1011,-,-31500.00,USD,Debit,FY2024,Q4,11,CC-300,Editorial Salaries November
TXN-0199,2024-11-30,1012,-,-72000.00,USD,Debit,FY2024,Q4,11,CC-400,Marketing Spend November (holiday campaign)
TXN-0200,2024-11-30,1013,-,-23000.00,USD,Debit,FY2024,Q4,11,CC-500,Warehouse OpEx November (peak shipping)
TXN-0201,2024-11-30,1014,-,-18000.00,USD,Debit,FY2024,Q4,11,CC-600,HR & Admin November
TXN-0202,2024-11-30,1015,-,-15500.00,USD,Debit,FY2024,Q4,11,CC-700,IT Infrastructure November
TXN-0203,2024-12-05,1001,BK-017,58000.00,USD,Credit,FY2024,Q4,12,CC-100,Book Sales - Winter's Promise Dec (holiday peak)
TXN-0204,2024-12-05,1002,BK-017,22000.00,USD,Credit,FY2024,Q4,12,CC-100,E-Book Sales - Winter's Promise Dec
TXN-0205,2024-12-05,1003,BK-017,10000.00,USD,Credit,FY2024,Q4,12,CC-100,Audiobook Sales - Winter's Promise Dec
TXN-0206,2024-12-08,1004,BK-017,8500.00,USD,Credit,FY2024,Q4,12,CC-100,Intl Sales - Winter's Promise Dec Multi
TXN-0207,2024-12-10,1001,BK-040,28000.00,USD,Credit,FY2024,Q4,12,CC-100,Book Sales - Phoenix Endgame Dec (gift)
TXN-0208,2024-12-10,1002,BK-040,8500.00,USD,Credit,FY2024,Q4,12,CC-100,E-Book Sales - Phoenix Endgame Dec
TXN-0209,2024-12-12,1001,BK-045,6500.00,USD,Credit,FY2024,Q4,12,CC-100,Book Sales - Echoes of Sahel Dec
